RiskID,CustomerID,RiskType,RiskScore,ExposureAmount,MitigationActions,ReviewDate,RiskStatus
RISK126,CUST314,Operational Risk,1,938319.27,Insurance,2022-02-23,Closed
RISK127,CUST163,Market Risk,7,989360.11,Hedging,2022-03-02,Mitigated
RISK128,CUST198,Operational Risk,5,489245.26,Diversification,2022-09-20,Closed
RISK129,CUST197,Market Risk,8,41834.79,Diversification,2022-04-10,Closed
RISK130,CUST658,Liquidity Risk,9,944331.29,Hedging,2022-08-12,Active
RISK131,CUST500,Liquidity Risk,8,601211.02,Hedging,2022-08-17,Mitigated
RISK132,CUST101,Market Risk,5,75261.15,None,2022-06-24,Mitigated
RISK133,CUST164,Liquidity Risk,4,432841.88,Insurance,2022-08-19,Closed
RISK134,CUST858,Operational Risk,2,155785.56,Insurance,2022-12-06,Mitigated
RISK135,CUST948,Credit Risk,2,769594.35,None,2022-12-06,Mitigated
RISK136,CUST770,Market Risk,2,317456.02,Insurance,2022-06-03,Closed
RISK137,CUST672,Market Risk,1,902809.18,None,2022-02-07,Active
RISK138,CUST126,Credit Risk,3,465561.41,Insurance,2022-09-21,Closed
RISK139,CUST400,Liquidity Risk,3,952970.26,Hedging,2022-09-23,Closed
RISK140,CUST887,Credit Risk,7,725580.26,Hedging,2022-03-27,Closed
RISK141,CUST399,Operational Risk,6,293604.91,Hedging,2022-03-21,Active
RISK142,CUST564,Credit Risk,1,629426.68,Diversification,2022-03-27,Mitigated
RISK143,CUST190,Operational Risk,9,414040.42,None,2022-05-01,Mitigated
RISK144,CUST148,Market Risk,3,626754.23,Diversification,2022-10-17,Closed
RISK145,CUST383,Credit Risk,8,139418.68,Hedging,2022-04-27,Mitigated
RISK146,CUST818,Liquidity Risk,4,492655.42,None,2022-01-18,Closed
RISK147,CUST465,Credit Risk,5,820977.97,Diversification,2022-04-06,Active
RISK148,CUST621,Liquidity Risk,4,465809.36,Diversification,2022-03-12,Mitigated
RISK149,CUST509,Operational Risk,5,989993.65,None,2022-08-02,Mitigated
RISK150,CUST478,Liquidity Risk,10,63177.65,Diversification,2022-08-19,Closed
RISK151,CUST310,Operational Risk,5,92870.13,Hedging,2022-01-08,Mitigated
RISK152,CUST628,Market Risk,4,416467.02,None,2022-09-12,Active
RISK153,CUST768,Liquidity Risk,5,470053.1,Hedging,2022-12-28,Closed
RISK154,CUST815,Operational Risk,3,763352.08,Insurance,2022-07-19,Active
RISK155,CUST935,Operational Risk,6,571250.95,Hedging,2022-10-15,Mitigated
RISK156,CUST464,Liquidity Risk,4,93217.35,None,2022-05-25,Mitigated
RISK157,CUST650,Operational Risk,9,769162.56,Hedging,2022-06-04,Mitigated
RISK158,CUST150,Operational Risk,8,919866.53,Hedging,2022-04-06,Active
RISK159,CUST643,Credit Risk,8,223974.53,Hedging,2022-06-24,Closed
RISK160,CUST249,Credit Risk,6,485141.42,Insurance,2022-01-25,Mitigated
RISK161,CUST455,Credit Risk,10,264591.95,Insurance,2022-02-06,Closed
RISK162,CUST870,Operational Risk,2,642070.21,Insurance,2022-11-13,Mitigated
RISK163,CUST737,Credit Risk,6,619154.19,Insurance,2022-03-23,Closed
RISK164,CUST322,Market Risk,9,945795.76,Insurance,2022-05-08,Mitigated
RISK165,CUST391,Operational Risk,7,952025.73,Diversification,2022-11-12,Closed
RISK166,CUST245,Liquidity Risk,1,604853.21,Hedging,2022-02-05,Closed
RISK167,CUST759,Credit Risk,5,611190.25,None,2022-07-06,Active
RISK168,CUST426,Operational Risk,7,304348.07,None,2022-06-17,Closed
RISK169,CUST594,Liquidity Risk,4,550792.02,Diversification,2022-09-04,Active
RISK170,CUST577,Operational Risk,2,259716.76,Hedging,2022-06-27,Closed
RISK171,CUST221,Operational Risk,3,309831.27,Insurance,2022-02-04,Active
RISK172,CUST239,Operational Risk,9,803315.69,Diversification,2022-01-25,Active
RISK173,CUST195,Credit Risk,5,164115.39,Insurance,2022-03-04,Mitigated
RISK174,CUST227,Credit Risk,10,655022.53,Diversification,2022-08-14,Closed
RISK175,CUST401,Market Risk,7,468484.4,Hedging,2022-08-25,Closed
RISK176,CUST198,Market Risk,7,145509.54,Insurance,2022-07-29,Active
RISK177,CUST726,Market Risk,2,533691.34,Diversification,2022-09-10,Closed
RISK178,CUST362,Liquidity Risk,8,522048.49,Hedging,2022-11-15,Closed
RISK179,CUST660,Credit Risk,1,652859.86,Insurance,2022-08-20,Closed
RISK180,CUST156,Operational Risk,7,781630.54,None,2022-10-08,Active
RISK181,CUST291,Market Risk,1,958873.48,Hedging,2022-11-12,Closed
RISK182,CUST393,Operational Risk,2,713577.74,Insurance,2022-12-13,Closed
RISK183,CUST987,Market Risk,9,371371.53,None,2022-04-19,Active
RISK184,CUST794,Credit Risk,2,204422.78,Hedging,2022-07-27,Mitigated
RISK185,CUST558,Credit Risk,6,814774.06,None,2022-06-02,Closed
RISK186,CUST592,Operational Risk,3,503506.06,Diversification,2022-10-31,Closed
RISK187,CUST901,Market Risk,10,723283.42,Hedging,2022-04-02,Mitigated
RISK188,CUST507,Credit Risk,2,962389.91,Insurance,2022-10-26,Active
RISK189,CUST283,Credit Risk,1,811463.76,Diversification,2022-09-14,Mitigated
RISK190,CUST934,Operational Risk,2,490769.46,None,2022-08-09,Mitigated
RISK191,CUST472,Operational Risk,6,94428.38,Hedging,2022-09-21,Mitigated
RISK192,CUST404,Liquidity Risk,9,437628.33,Hedging,2022-09-06,Closed
RISK193,CUST896,Credit Risk,10,72634.23,None,2022-12-19,Closed
RISK194,CUST474,Liquidity Risk,1,769453.94,Hedging,2022-08-16,Mitigated
RISK195,CUST879,Liquidity Risk,2,904022.54,Hedging,2022-05-05,Active
RISK196,CUST301,Credit Risk,5,27323.78,Hedging,2022-08-03,Mitigated
RISK197,CUST533,Credit Risk,8,127786.47,Diversification,2022-09-26,Mitigated
RISK198,CUST524,Credit Risk,6,648693.88,Hedging,2022-12-17,Mitigated
RISK199,CUST140,Liquidity Risk,3,720477.02,None,2022-02-02,Mitigated
