FraudID,TransactionID,CustomerID,TransactionDate,TransactionAmount,TransactionType,FraudFlag,DetectionMethod,Country
FRD153,TX1053,CUST934,2022-02-27,551.33,Transfer,Yes,Automated System,Germany
FRD154,TX1054,CUST750,2022-07-27,1238.78,Deposit,Yes,Automated System,USA
FRD155,TX1055,CUST343,2022-06-16,6412.19,Withdrawal,Yes,Customer Report,Germany
FRD156,TX1056,CUST913,2022-04-05,8987.02,Transfer,Yes,Manual Review,USA
FRD157,TX1057,CUST278,2022-11-24,2041.06,Payment,No,Customer Report,Germany
FRD158,TX1058,CUST287,2022-01-14,6035.15,Withdrawal,No,Automated System,UK
FRD159,TX1059,CUST989,2022-04-08,1990.65,Transfer,Yes,Automated System,Australia
FRD160,TX1060,CUST904,2022-09-24,3612.52,Withdrawal,No,Customer Report,Canada
FRD161,TX1061,CUST803,2022-05-28,2176.59,Deposit,Yes,Automated System,Canada
FRD162,TX1062,CUST399,2022-03-20,3540.96,Transfer,No,Customer Report,USA
FRD163,TX1063,CUST953,2022-05-03,4013.02,Withdrawal,No,Automated System,Germany
FRD164,TX1064,CUST472,2022-08-31,9943.66,Withdrawal,No,Manual Review,Canada
FRD165,TX1065,CUST579,2022-04-30,6378.55,Transfer,No,Customer Report,USA
FRD166,TX1066,CUST890,2022-02-11,6758.75,Withdrawal,No,Customer Report,Australia
FRD167,TX1067,CUST111,2022-09-25,3135.05,Withdrawal,Yes,Automated System,Germany
FRD168,TX1068,CUST707,2022-05-08,6670.43,Transfer,No,Manual Review,Australia
FRD169,TX1069,CUST156,2022-09-25,9458.15,Deposit,No,Automated System,UK
FRD170,TX1070,CUST226,2022-11-19,6695.57,Deposit,Yes,Automated System,Australia
FRD171,TX1071,CUST255,2022-08-20,7612.14,Withdrawal,Yes,Customer Report,Germany
FRD172,TX1072,CUST658,2022-03-17,1583.93,Transfer,No,Customer Report,Australia
FRD173,TX1073,CUST744,2022-09-09,3557.73,Transfer,No,Customer Report,Germany
FRD174,TX1074,CUST200,2022-04-22,3686.47,Payment,Yes,Manual Review,USA
FRD175,TX1075,CUST844,2022-06-03,2863.59,Withdrawal,No,Manual Review,USA
FRD176,TX1076,CUST218,2022-02-23,8005.58,Payment,Yes,Customer Report,Australia
FRD177,TX1077,CUST229,2022-11-20,113.35,Withdrawal,No,Manual Review,Canada
FRD178,TX1078,CUST617,2022-08-24,4543.54,Payment,Yes,Manual Review,Canada
FRD179,TX1079,CUST777,2022-05-22,7059.07,Payment,No,Automated System,Canada
FRD180,TX1080,CUST231,2022-02-10,5383.11,Transfer,No,Manual Review,Canada
FRD181,TX1081,CUST428,2022-11-13,7689.76,Payment,No,Automated System,UK
FRD182,TX1082,CUST824,2022-04-22,9951.5,Transfer,Yes,Customer Report,Australia
FRD183,TX1083,CUST623,2022-11-27,4831.29,Transfer,No,Manual Review,Canada
FRD184,TX1084,CUST760,2022-04-19,91.35,Withdrawal,No,Manual Review,Germany
FRD185,TX1085,CUST785,2022-12-22,1243.84,Transfer,Yes,Automated System,Canada
FRD186,TX1086,CUST713,2022-06-29,332.09,Transfer,No,Automated System,Canada
FRD187,TX1087,CUST243,2022-02-01,3352.27,Transfer,No,Manual Review,USA
FRD188,TX1088,CUST857,2022-02-05,8315.43,Withdrawal,No,Customer Report,Canada
FRD189,TX1089,CUST921,2022-06-18,8597.95,Transfer,Yes,Manual Review,Germany
FRD190,TX1090,CUST263,2022-09-06,4259.69,Payment,No,Manual Review,UK
FRD191,TX1091,CUST447,2022-01-11,4543.69,Deposit,Yes,Automated System,UK
FRD192,TX1092,CUST891,2022-01-20,1979.31,Transfer,No,Customer Report,USA
FRD193,TX1093,CUST214,2022-09-04,3621.95,Transfer,No,Customer Report,USA
FRD194,TX1094,CUST376,2022-12-08,6838.33,Deposit,Yes,Customer Report,Canada
FRD195,TX1095,CUST807,2022-06-14,127.81,Deposit,No,Automated System,USA
FRD196,TX1096,CUST846,2022-08-04,4190.08,Withdrawal,Yes,Manual Review,Germany
FRD197,TX1097,CUST985,2022-10-25,4931.95,Transfer,Yes,Manual Review,Germany
FRD198,TX1098,CUST896,2022-10-24,6596.53,Withdrawal,Yes,Automated System,UK
FRD199,TX1099,CUST796,2022-09-10,441.75,Payment,No,Customer Report,USA
